,Time,Latitude,Longitude,Depth,Magnitude,Date
,01:04:56,11.55,93.62,35,4.3,22-04-2021
,18:58:31,29.78,89.61,170,4.3,21-04-2021
,15:33:43,17.42,73.79,5,2.8,20-04-2021
,15:21:57,17.4,73.78,5,2.9,20-04-2021
,05:28:27,0.2,96.62,47,6,20-04-2021
,18:26:02,36.53,71.26,225,4.3,19-04-2021
,17:42:39,28.78,89.34,75,4.3,19-04-2021
,11:17:58,25.9,90.29,10,2.9,19-04-2021
,10:37:51,36.32,69.21,10,4.1,19-04-2021
,01:53:51,25.74,95.28,89,4.3,19-04-2021
,18:54:33,22.48,94.08,10,4.8,18-04-2021
,20:38:01,28.08,93.04,10,2.6,17-04-2021
,17:39:01,37.21,72.27,10,3.9,17-04-2021
,16:08:18,37.96,72.68,70,4.2,17-04-2021
,15:45:06,20.73,76.83,16,3,17-04-2021
,08:54:40,32.3,98.83,10,4.6,17-04-2021
,00:20:51,32.35,78.7,10,3.6,17-04-2021
,19:23:18,37.32,72.44,10,3.6,16-04-2021
,06:05:56,30.01,79.6,10,2.5,16-04-2021
,03:56:28,32.43,78.82,100,4.4,16-04-2021
,03:17:09,32.31,76.39,10,2.9,16-04-2021
,03:03:30,32.28,76.29,10,3.5,16-04-2021
,16:19:22,28.81,76.79,10,2.4,15-04-2021
,04:00:01,19.28,83.38,10,3.2,15-04-2021
,02:00:21,36.5,70.42,10,3.4,15-04-2021
,01:19:01,36.23,71.19,19,4.1,15-04-2021
,00:09:24,23.32,94.1,30,3.1,15-04-2021
,21:00:48,34.19,76.63,5,3.6,14-04-2021
,16:25:18,0.12,96.68,30,5.3,14-04-2021
,15:14:37,36.27,70.55,170,4.4,14-04-2021
,12:54:51,36.57,71.52,176,4.3,14-04-2021
,04:34:57,26.24,92.82,10,2.8,14-04-2021
,02:09:37,32.63,75.98,14,2.8,14-04-2021
,23:03:10,22.75,94.56,10,3.6,13-04-2021
,16:14:25,30.3,70.49,10,3.9,13-04-2021
,15:37:42,36.65,71.56,10,3.4,13-04-2021
,15:02:48,39.91,72.49,30,3.6,13-04-2021
,14:58:52,36.52,70.04,225,4,13-04-2021
,11:12:47,36.5,70.76,200,4.9,13-04-2021
,09:58:07,36.1,68.05,80,4.2,13-04-2021
,02:40:29,29.46,89.53,187,3.6,13-04-2021
,21:01:30,27.61,92.71,10,3.6,12-04-2021
,03:17:29,29.6,89.6,150,3.8,12-04-2021
,20:41:27,12.33,78.72,30,3,11-04-2021
,12:53:59,23.28,81.73,10,3.9,11-04-2021
,04:05:20,36.72,71.65,10,3.8,11-04-2021
,03:19:41,28.28,67.01,10,4.2,11-04-2021
,23:51:51,31.53,90.42,10,4.3,10-04-2021
,23:10:04,39.31,77,12,3.1,10-04-2021
,20:48:21,28.1,66.47,10,4.3,10-04-2021
,01:34:19,36.16,70.49,27,3.8,09-04-2021
,18:23:41,30.82,71.24,23,4,08-04-2021
,00:56:39,37.62,72.91,100,3.8,08-04-2021
,17:59:35,35.36,72.54,10,4.2,07-04-2021
,03:25:44,32.28,93.26,10,4.3,07-04-2021
,03:18:36,31.99,92.84,10,4.8,07-04-2021
,02:03:27,31.28,93.02,10,3.8,07-04-2021
,23:16:03,37.56,66.59,10,4.3,06-04-2021
,14:31:19,26.95,89.33,10,3.9,06-04-2021
,10:44:35,26.28,88.68,5,3.7,06-04-2021
,07:33:55,21.61,94.52,10,3.6,06-04-2021
,07:07:02,26.72,89.04,10,4.1,06-04-2021
,03:42:16,27.55,95.54,39,2.7,06-04-2021
,20:49:58,27.23,88.84,10,5.1,05-04-2021
,03:39:13,32.69,76.59,5,2.8,05-04-2021
,02:01:55,32.63,76.32,14,2.4,05-04-2021
,01:39:51,36.66,76.17,10,4.4,05-04-2021
,22:38:31,26.57,93.89,24,2.9,04-04-2021
,11:46:28,35.97,69.73,60,4.2,04-04-2021
,10:25:41,37.45,73.28,90,4.7,04-04-2021
,10:37:47,35.93,66.16,10,4.1,03-04-2021
,02:40:00,27.62,92.65,5,2.2,03-04-2021
,00:10:20,32.68,76.48,10,3,03-04-2021
,14:28:42,34.12,87.81,100,4.3,02-04-2021
,00:21:47,23.87,92.92,28,3.8,02-04-2021
,22:21:10,36.66,71.48,11,4.1,01-04-2021
,17:35:02,37.36,71.17,90,4.5,01-04-2021
,00:02:54,39.21,72.65,135,4.3,01-04-2021
,22:41:22,28.82,76.72,10,2.4,31-03-2021
,21:40:24,37.36,72.21,150,4.2,30-03-2021
,10:03:40,25.7,91.39,5,2.8,30-03-2021
,04:19:58,34.93,73.63,10,3.4,30-03-2021
,04:03:50,34.86,73.42,10,3.5,30-03-2021
,01:06:26,34.41,76.08,10,3.1,30-03-2021
,00:19:02,27.99,87.55,10,3.6,30-03-2021
,22:57:24,34.47,87.69,10,5.6,29-03-2021
,18:52:33,25.56,91.91,10,3.2,29-03-2021
,16:15:16,26.24,95.48,100,3.9,29-03-2021
,13:54:21,7.71,91.3,10,4.1,29-03-2021
,05:41:40,36.18,77.38,10,4.1,29-03-2021
,23:23:23,27.57,92.69,10,2.6,28-03-2021
,18:17:14,27.78,64.67,30,4.4,28-03-2021
